"date","close","volume","open","high","low"
"2018/06/07","247.5100","4166561.0000","253.2400","254.0500","244.0300"
"2018/06/06","253.9500","3963113.0000","253.7500","254.0700","251.5000"
"2018/06/05","252.7000","2676407.0000","254.0000","254.0600","251.1100"
"2018/06/04","253.3400","3055555.0000","252.8500","254.7200","251.1000"
"2018/06/01","251.3100","2771032.0000","250.5500","251.8300","248.8486"
"2018/05/31","249.2800","3828753.0000","247.1100","251.5200","246.5800"
"2018/05/30","247.4000","2302203.0000","244.4000","248.5600","244.3900"
"2018/05/29","242.1900","2073011.0000","242.9900","243.3850","240.3800"
"2018/05/25","243.5600","2099571.0000","245.0000","245.7900","242.8700"
"2018/05/24","245.1500","2770252.0000","243.7900","245.9000","240.7218"
"2018/05/23","243.9100","2749122.0000","236.3200","244.0900","236.0000"
"2018/05/22","238.7900","2950062.0000","241.1500","243.4900","237.7600"
"2018/05/21","238.1000","1755747.0000","239.8500","240.7800","237.1100"
"2018/05/18","238.0900","1886247.0000","236.2400","239.2800","235.2581"
"2018/05/17","236.8500","1675143.0000","237.3200","239.6650","234.8288"
"2018/05/16","237.3900","1842721.0000","236.5900","238.1200","235.8396"
"2018/05/15","236.6000","2130329.0000","235.6400","237.3450","233.0000"
"2018/05/14","238.3700","2670539.0000","242.0000","243.3400","237.2400"
"2018/05/11","241.8800","2261516.0000","241.0300","241.9300","238.7901"
"2018/05/10","241.1500","1936007.0000","240.4600","241.7600","238.2400"
"2018/05/09","239.7400","3088153.0000","235.0000","240.1500","233.5250"
"2018/05/08","234.5600","2189857.0000","229.7400","234.9971","228.7500"
"2018/05/07","230.9900","1808153.0000","229.5400","232.3600","229.0200"
"2018/05/04","228.5100","1663242.0000","223.8900","229.3900","223.3900"
"2018/05/03","226.0500","2494576.0000","220.0100","227.3700","218.7396"
"2018/05/02","221.1000","2088409.0000","224.3000","224.5000","220.5500"
"2018/05/01","224.0800","1792486.0000","220.7700","224.4900","219.3800"
"2018/04/30","221.6000","1763320.0000","223.2700","224.1400","219.5380"
"2018/04/27","221.9000","1502529.0000","223.0800","224.1800","219.6800"
"2018/04/26","221.9100","2228510.0000","219.7700","223.1900","218.8510"
"2018/04/25","217.3200","2793805.0000","218.1600","219.4000","213.2500"
"2018/04/24","217.8900","3446325.0000","227.0000","228.3000","215.7780"
"2018/04/23","225.3000","2137329.0000","226.3900","229.1500","224.7500"
"2018/04/20","225.2400","2388260.0000","227.0000","227.6000","223.0500"
"2018/04/19","227.6200","2601308.0000","230.1100","230.4300","226.2800"
"2018/04/18","231.1000","2246814.0000","231.7000","233.1713","228.6200"
"2018/04/17","231.1600","2873075.0000","228.5600","232.2100","228.0700"
"2018/04/16","226.5200","2130328.0000","226.0800","227.2300","222.9535"
"2018/04/13","224.0600","1987053.0000","228.8500","228.9500","222.5500"
"2018/04/12","226.9600","2080216.0000","225.7200","228.3900","225.1150"
"2018/04/11","223.6300","1850727.0000","222.9300","226.6200","222.5400"
"2018/04/10","224.5300","2823259.0000","222.6100","225.1600","221.1810"
"2018/04/09","219.1700","2527259.0000","220.0800","224.4370","218.8200"
"2018/04/06","218.6100","2962319.0000","221.8900","224.4600","216.7471"
"2018/04/05","223.5400","3988603.0000","227.9400","228.8000","221.6050"
"2018/04/04","225.0500","4469790.0000","210.7100","226.2800","210.5000"
"2018/04/03","215.9300","3016875.0000","214.7800","217.8549","212.2800"
"2018/04/02","212.2800","3473220.0000","214.8100","216.5000","207.2200"
"2018/03/29","216.0800","3755655.0000","213.3500","219.5900","210.2737"
"2018/03/28","212.5400","4501108.0000","213.7200","217.1500","209.0400"
"2018/03/27","213.8000","5316595.0000","229.9000","230.9800","212.2500"
"2018/03/26","228.9100","4465200.0000","218.8300","229.1500","218.5000"
"2018/03/23","215.0200","4272821.0000","219.5200","222.4550","214.7800"
"2018/03/22","220.5200","2967916.0000","223.8600","225.8700","220.2550"
"2018/03/21","226.8500","3962597.0000","228.7600","229.2500","225.6100"
