"date","close","volume","open","high","low"
"2015/06/22","74.7800","3112322.0000","75.5000","75.7100","74.3500"
"2015/06/19","75.0000","5372439.0000","75.5000","75.9500","74.9600"
"2015/06/18","75.7100","4229162.0000","74.6300","76.2100","74.6000"
"2015/06/17","74.4200","7284454.0000","73.5000","75.8100","73.3100"
"2015/06/16","73.4000","3432960.0000","72.0000","73.5500","72.0000"
"2015/06/15","72.5600","2844570.0000","71.3100","72.6700","70.7300"
"2015/06/12","71.7700","2288123.0000","72.2000","72.3499","71.4700"
"2015/06/11","72.4000","2355474.0000","73.1700","73.4900","72.2500"
"2015/06/10","73.0300","2459529.0000","72.0300","73.3000","71.4700"
"2015/06/09","71.7600","3235355.0000","72.4600","72.4800","71.0000"
"2015/06/08","71.8400","3830612.0000","73.2800","73.2800","71.2400"
"2015/06/05","73.5500","3183101.0000","72.0000","73.6700","71.8500"
"2015/06/04","72.2100","2753581.0000","72.9100","73.4800","72.0100"
"2015/06/03","73.4700","2646185.0000","73.2100","73.6000","72.7000"
"2015/06/02","72.9000","2618079.0000","72.8300","73.3500","72.6100"
"2015/06/01","73.1000","3191241.0000","72.7900","73.4900","72.2500"
"2015/05/29","72.7500","4833099.0000","72.5600","72.9300","71.6600"
"2015/05/28","72.6800","5065745.0000","72.9200","73.4900","72.5300"
"2015/05/27","73.9500","3926967.0000","73.0000","74.4600","72.9300"
"2015/05/26","73.5700","6527973.0000","73.6600","73.9800","73.2200"
"2015/05/22","75.0100","11301920.0000","73.0000","75.8900","72.5000"
"2015/05/21","72.9100","12314250.0000","73.5100","74.6800","72.3100"
"2015/05/20","70.1600","9268292.0000","71.2300","71.2300","69.2900"
"2015/05/19","71.4800","5089334.0000","72.9900","73.1000","70.8400"
"2015/05/18","72.8000","2848937.0000","72.5500","73.2000","71.6700"
"2015/05/15","72.4000","3648804.0000","73.2200","73.3100","72.2500"
"2015/05/14","72.8800","3198665.0000","72.5000","73.0800","71.8000"
"2015/05/13","71.7900","4206230.0000","72.3900","72.5300","71.0200"
"2015/05/12","71.7700","3574358.0000","70.7000","72.1500","70.0400"
"2015/05/11","71.2000","4047920.0000","71.4800","72.2800","71.2000"
"2015/05/08","72.4000","6155456.0000","72.0000","73.5000","71.7600"
"2015/05/07","74.5200","4375906.0000","74.0800","74.7700","73.4000"
"2015/05/06","73.7900","11101040.0000","73.6500","75.5300","72.8000"
